171,58,265,58,265,78,171,78,abc
114,79,322,79,322,99,114,99,abc
171,97,265,97,265,117,171,117,abc
140,119,159,119,159,138,140,138,abc
171,122,193,122,193,139,171,139,abc
207,123,303,123,303,140,207,140,abc
85,140,354,140,354,205,85,205,abc
359,56,693,56,693,79,359,79,abc
423,78,637,78,637,98,423,98,abc
419,122,510,122,510,142,419,142,abc
510,121,529,121,529,140,510,140,abc
529,121,568,121,568,141,529,141,abc
570,122,586,122,586,141,570,141,abc
587,119,656,119,656,142,587,142,abc
136,236,206,236,206,259,136,259,abc
237,255,446,255,446,277,237,277,abc
237,276,388,276,388,297,237,297,abc
237,295,419,295,419,314,237,314,abc
236,315,394,315,394,332,236,332,abc
236,332,456,332,456,352,236,352,abc
235,351,408,351,408,370,235,370,abc
234,370,497,370,497,391,234,391,abc
234,391,575,391,575,409,234,409,abc
234,409,528,409,528,427,234,427,abc
236,427,620,427,620,447,236,447,abc
236,447,480,447,480,464,236,464,abc
234,465,664,465,664,486,234,486,abc
235,486,597,486,597,504,235,504,abc
234,504,424,504,424,526,234,526,abc
125,536,660,536,660,557,125,557,abc
89,557,665,557,665,819,89,819,abc
90,819,253,819,253,836,90,836,abc
126,837,660,837,660,858,126,858,abc
91,857,661,857,661,935,91,935,abc
90,934,324,934,324,953,90,953,abc
331,932,498,932,498,952,331,952,abc
642,952,662,952,662,971,642,971,abc
